RDF,1
standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A00011,EPA19,ORF,CP048230.1,3287,16984,C,13698,0,0,0.0,0.0,0.0,13698,1.0,1.0,-24.541367610545567,0,0,0,0,0.0,9999,6367.0
GWK60_A00033,EPA24,ORF,CP048230.1,26433,28541,C,2109,0,0,0.0,0.0,0.0,2109,1.0,0.9999999948794296,-24.541367610545567,0,0,0,0,0.0,9999,1334.8181818181818
GWK60_A00055,GWK60_A00055,ORF,CP048230.1,32665,33504,C,840,1,125,0.0011904761904761906,0.25756448412698413,0.06174138652664421,562,0.669047619047619,0.6679378021344546,-17.56408768704565,0,0,0,0,0.0,840.0,216.35416666666666
GWK60_A00077,GWK60_A00077,ORF,CP048230.1,34115,36385,C,2271,1,36,0.00044033465433729633,0.07717064969376726,0.005890662184111152,2032,0.8947600176133862,0.8947600167066773,-19.331914244916618,0,0,0,0,0.0,2271.0,175.25454545454545
GWK60_A00099,GWK60_A00099,ORF,CP048230.1,36888,39068,W,2181,1,6,0.0004585052728106373,0.06401977012566153,0.0008621043299027763,2081,0.9541494727189362,0.9541494703407672,-21.73401268848796,0,0,0,0,0.0,2181.0,139.6271186440678
GWK60_A00121,GWK60_A00121,ORF,CP048230.1,39869,42250,W,2382,5,1059,0.0020990764063811922,0.15769566245221034,0.05559100825188982,1029,0.43198992443324935,0.43198992428898203,-14.491519061095005,0,0,0,0,0.0,476.4,75.12621359223301
GWK60_A00143,GWK60_A00143,ORF,CP048230.1,42544,43215,C,672,1,411,0.001488095238095238,0.07610329485329484,0.050238768341835494,649,0.9657738095238095,0.9572398453884904,-15.854867083362349,1,0,0,0,0.0,672.0,51.14141414141414
GWK60_A00165,GWK60_A00165,ORF,CP048230.1,43698,44498,W,801,1,20,0.0012484394506866417,0.06175873907615481,0.001926981051860197,712,0.8888888888888888,0.8867128174441776,-20.149050187766807,0,0,0,0,0.0,801.0,49.46875
GWK60_A00187,GWK60_A00187,ORF,CP048230.1,44808,45404,C,597,0,0,0.0,0.0,0.0,597,1.0,0.9814761750367006,-24.541367610545567,3,0,0,0,0.0,9999,46.742574257425744
GWK60_A00209,GWK60_A00209,ORF,CP048230.1,45607,47136,W,1530,5,1618,0.0032679738562091504,0.17873303167420815,0.09326107695085849,515,0.3366013071895425,0.33660074355388314,-13.880480340243,1,0,0,0,0.0,306.0,54.69230769230769
GWK60_A00231,GWK60_A00231,ORF,CP048230.1,47685,48254,W,570,6,2136,0.010526315789473684,0.5392712550607287,0.3095596599486561,157,0.2754385964912281,0.2687930835744315,-13.479996417885756,0,0,0,0,0.0,95.0,51.23076923076923
GWK60_A00253,GWK60_A00253,ORF,CP048230.1,48624,50978,C,2355,15,6478,0.006369426751592357,0.3448073361340742,0.28870585596182113,900,0.3821656050955414,0.3821656049283533,-11.879812168077807,3,0,0,0,0.0,157.0,54.13475177304964
GWK60_A00275,GWK60_A00275,ORF,CP048230.1,51806,55015,C,3210,11,9107,0.003426791277258567,0.15439704833011367,0.2857122879232258,2150,0.6697819314641744,0.6697819314641178,-11.388449034408945,1,0,0,0,0.0,291.8181818181818,45.055865921787706
GWK60_A00297,SCL1,ORF,CP048230.1,56199,56963,W,765,0,0,0.0,0.0,0.0,765,1.0,0.9964948127799336,-24.541367610545567,0,0,0,0,0.0,9999,40.901162790697676
GWK60_A00319,ERG4,ORF,CP048230.1,57279,58673,C,1395,0,0,0.0,0.0,0.0,1395,1.0,0.9999935408088644,-24.541367610545567,0,0,0,0,0.0,9999,42.861271676300575
GWK60_A00341,PDR1,ORF,CP048230.1,62211,65534,W,3324,13,3068,0.003910950661853189,0.15537676348045887,0.09588219328685724,963,0.2897111913357401,0.28971119133573225,-12.957814680079082,0,0,0,0,0.0,255.69230769230768,39.7286432160804
GWK60_A00363,GWK60_A00363,ORF,CP048230.1,65791,68151,C,2361,12,2152,0.005082592121982211,0.1828774184267939,0.07991305700920419,492,0.20838627700127066,0.2083862769154157,-13.469235006378334,0,0,0,0,0.0,196.75,35.9811320754717
GWK60_A00385,PMA1,ORF,CP048230.1,69666,72374,C,2709,2,214,0.0007382798080472499,0.022767709530632486,0.005675148529650452,2646,0.9767441860465116,0.9767441860341141,-16.793174760956106,0,0,0,0,0.0,1354.5,30.838862559241708
GWK60_A00407,GWK60_A00407,ORF,CP048230.1,73476,76844,W,3369,31,14747,0.009201543484713566,0.3026285412750239,0.3143456576569663,594,0.176313446126447,0.17631344612644395,-10.69313590945175,8,0,0,0,0.0,108.6774193548387,32.888888888888886
GWK60_A00429,GWK60_A00429,ORF,CP048230.1,77062,77871,C,810,2,633,0.0024691358024691358,0.08581281467687427,0.057724961960297985,659,0.8135802469135802,0.811759577561085,-15.23302858040616,1,0,0,0,0.0,405.0,34.754189944134076
